Brand Name,Building Num,Street Name,Quadrant,Postal Code,Neighborhood,Sector,Verified Address
Second Cup,2020,101 St,NW,T6N 1J2,South Edmonton,Southwest Sector,2020 101 St NW
Second Cup,14171,23 Ave,NW,T6R 0G4,Magrath,Southwest Sector,14171 23 Ave NW
Second Cup,9238,Ellerslie Rd,SW,T6X 0K6,Ellerslie,Southwest Sector,9238 Ellerslie Rd SW
Second Cup,10180,101 St,NW,T5J 3S4,Downtown,Mature Area,10180 101 St NW
Second Cup,9828,101A Ave,NW,T5J 3C6,Downtown,Mature Area,9828 101A Ave NW
Second Cup,12222,137 Ave,NW,T5L 4X5,Pembina,North Sector,12222 137 Ave NW
Sober Cat Cafe,10190,104 St,NW,T5J 1A7,Downtown,Mature Area,10190 104 St NW
Square 1 Coffee,15,Fairway Dr,NW,T6J 2W4,Aspen Gardens,Southwest Sector,15 Fairway Dr NW
Square 1 Coffee,14055,West Block Dr,NW,T5N 1L5,Glenora,Mature Area,14055 West Block Dr NW
Square 1 Coffee,16819,111 Ave,NW,T5M 2S4,Mayfield,West Sector,16819 111 Ave NW
Square 1 Coffee,7319,29 Ave,NW,T6K 2P6,Menisa,Southeast Sector,7319 29 Ave NW
Starbucks,10001,107 St,NW,T5J 1J1,Downtown,Mature Area,10001 107 St NW
Starbucks,11926,104 Ave,NW,T5K 2T9,Oliver (Wihkwentowin),Mature Area,11926 104 Ave NW
Starbucks,8215,112 St,NW,T6G 2C8,University,Mature Area,8215 112 St NW
Starbucks,7430,68 Ave,NW,T6B 0A1,Girard Industrial,Southeast Sector,7430 68 Ave NW
Starbucks,4623,Calgary Trail,NW,T6H 5W8,Empire Park,Southwest Sector,4623 Calgary Trail NW
Starbucks,13682,137 Ave,NW,T5L 5E8,Pembina,North Sector,13682 137 Ave NW
Starbucks,16815,127 St,NW,T6V 1B1,Oxford,Northwest Sector,16815 127 St NW
Starbucks,6873,170 St,NW,T5T 4W4,Callingwood,West Sector,6873 170 St NW
Starbucks,14239,23 Ave,NW,T6R 3E7,Magrath,Southwest Sector,14239 23 Ave NW
Starbucks,21510,92 Ave,NW,T5T 7X2,Secord,West Sector,21510 92 Ave NW
Starbucks,1131,Windermere Way,SW,T6W 2P3,Windermere,Southwest Sector,1131 Windermere Way SW
Starbucks,2309,111 St,NW,T6J 5E5,Blue Quill,Southwest Sector,2309 111 St NW
Starbucks,9450,137 Ave,NW,T5E 6C2,Northgate,North Sector,9450 137 Ave NW
Starbucks,11625,Kingsway Ave,NW,T5G 3E8,Kingsway,Mature Area,11625 Kingsway Ave NW
Starbucks,1751,102 St,NW,T6N 0B1,South Edmonton Common,Southwest Sector,1751 102 St NW
Starbucks,10080,Jasper Ave,NW,T5J 1V9,Downtown,Mature Area,10080 Jasper Ave NW
Starbucks,10155,102 St,NW,T5J 4G8,Downtown,Mature Area,10155 102 St NW
Starbucks,601,Westmount Centre,NW,T5M 3L7,Westmount,Mature Area,601 Westmount Centre NW
Starbucks,5015,111 St,NW,T6H 4M6,Southgate,Southwest Sector,5015 111 St NW
Starbucks,5360,Windermere Blvd,NW,T6W 0L9,Windermere,Southwest Sector,5360 Windermere Blvd NW
Starbucks,10414,82 Ave,NW,T6E 2A2,Strathcona,Mature Area,10414 82 Ave NW
Starbucks,8882,170 St,NW,T5T 4J2,West Edmonton Mall,West Sector,8882 170 St NW
Starbucks,8770,170 St,NW,T5T 4J2,West Edmonton Mall,West Sector,8770 170 St NW
Starbucks,9930,109 St,NW,T5K 1H5,Downtown,Mature Area,9930 109 St NW
Starbucks,11211,Jasper Ave,NW,T5K 0L5,Oliver (Wihkwentowin),Mature Area,11211 Jasper Ave NW
Starbucks,10903,23 Ave,NW,T6J 7B9,Ermineskin,Southwest Sector,10903 23 Ave NW
Starbucks,390,Baseline Rd,NW,T8H 1X1,Sherwood Park,Southeast Sector,390 Baseline Rd NW
Starbucks,10355,Strathcona Blvd,NW,T6E 6B5,Strathcona,Mature Area,10355 Strathcona Blvd NW
Starbucks,9904,137 Ave,NW,T5E 6W1,Northgate,North Sector,9904 137 Ave NW
Starbucks,13524,97 St,NW,T5E 5V2,Rosslyn,North Sector,13524 97 St NW
Starbucks,15355,97 St,NW,T5X 5X9,Eaux Claires,Northwest Sector,15355 97 St NW
Starbucks,10939,170 St,NW,T5P 4W3,Mayfield,West Sector,10939 170 St NW
Starbucks,6655,178 St,NW,T5T 4J5,Callingwood,West Sector,6655 178 St NW
Starbucks,6004,Currents Dr,NW,T6W 0L9,Windermere,Southwest Sector,6004 Currents Dr NW
Starbucks,15705,97 St,NW,T5X 5V7,Eaux Claires,Northwest Sector,15705 97 St NW
Starbucks,5515,23 Ave,NW,T6L 7B5,Mill Woods,Southeast Sector,5515 23 Ave NW
Starbucks,16761,91 St,NW,T5Z 2X4,Lago Lindo,Northwest Sector,16761 91 St NW
Starbucks,3725,17 St,NW,T6T 1A7,Tamarack,Southeast Sector,3725 17 St NW
Starbucks,1505,101 St,SW,T6X 1A8,Ellerslie,Southwest Sector,1505 101 St SW
Starbucks,9930,42 Ave,NW,T6E 5E7,South Industrial,Mature Area,9930 42 Ave NW
Starbucks,10430,61 Ave,NW,T6H 2J3,Allendale,Mature Area,10430 61 Ave NW
Starbucks,5125,55 Ave,NW,T6B 3V1,Roper Industrial,Southeast Sector,5125 55 Ave NW
Starbucks,4211,137 Ave,NW,T5Y 2W6,Clareview,Northeast Sector,4211 137 Ave NW
Starbucks,13154,137 Ave,NW,T5L 4Z6,Pembina,North Sector,13154 137 Ave NW
Starbucks,13304,50 St,NW,T5A 4Z8,Sifton Park,Northeast Sector,13304 50 St NW
Starbucks,2830,88 St,NW,T6K 3L8,Mill Woods,Southeast Sector,2830 88 St NW
Starbucks,11400,104 Ave,NW,T5K 2S9,Oliver (Wihkwentowin),Mature Area,11400 104 Ave NW
Starbucks,8440,112 St,NW,T6G 2L2,University,Mature Area,8440 112 St NW
Starbucks,116,St & 85 Ave,NW,T6G 2R3,University,Mature Area,116 St & 85 Ave NW
Starbucks,8702,109 St,NW,T6G 2L5,Garneau,Mature Area,8702 109 St NW
Starbucks,10403,83 Ave,NW,T6E 2C7,Strathcona,Mature Area,10403 83 Ave NW
Starbucks,10014,104 St,NW,T5J 0Z7,Downtown,Mature Area,10014 104 St NW
Starbucks,10200,102 Ave,NW,T5J 4B7,Downtown,Mature Area,10200 102 Ave NW
Starbucks,5005,101 Ave,NW,T6A 0G7,Capilano,Southeast Sector,5005 101 Ave NW
Starbucks,6550,28 Ave,NW,T6L 6N3,Mill Woods,Southeast Sector,6550 28 Ave NW
Starbucks,2331,66 St,NW,T6K 4B4,Mill Woods,Southeast Sector,2331 66 St NW
Starbucks,3312,43 Ave,NW,T6T 1S1,Tamarack,Southeast Sector,3312 43 Ave NW
Starbucks,16028,127 St,NW,T6V 1B2,Oxford,Northwest Sector,16028 127 St NW
Starbucks,12703,167 Ave,NW,T6V 1J5,Oxford,Northwest Sector,12703 167 Ave NW
Starbucks,5029,Ellerslie Rd,SW,T6X 1A4,Ellerslie,Southwest Sector,5029 Ellerslie Rd SW
Starbucks,11523,34 St,NW,T5W 1Z3,Rundle Heights,Northeast Sector,11523 34 St NW
Starbucks,10180,101 St,NW,T5J 3S4,Downtown,Mature Area,10180 101 St NW
Starbucks,10250,101 St,NW,T5J 3P4,Downtown,Mature Area,10250 101 St NW
Starbucks,8015,104 St,NW,T6E 4E3,Strathcona,Mature Area,8015 104 St NW
Starbucks,10025,102A Ave,NW,T5J 2Z2,Downtown,Mature Area,10025 102A Ave NW
Stopgap Coffee,9749,111 St,NW,T5K 1J7,Oliver (Wihkwentowin),Mature Area,9749 111 St NW
Strom Coffee,7225,104 St,NW,T6E 1C1,Queen Alexandra,Mature Area,7225 104 St NW
Sugar Bowl,10922,88 Ave,NW,T6G 0Z1,Garneau,Mature Area,10922 88 Ave NW
Sweet Castle Bakery,3019,66 St,NW,T6K 4B2,Tawa / Mill Woods,Southeast Sector,3019 66 St NW
Tea & Coffee Company,10561,111 St,NW,T5H 3E8,Queen Mary Park,Mature Area,10561 111 St NW
The Art of Cake,11811,105 Ave,NW,T5H 0L9,Queen Mary Park,Mature Area,11811 105 Ave NW
The Colombian Coffee Bar & Roastery,10340,134 St,NW,T5N 2B1,Glenora,Mature Area,10340 134 St NW
The Colombian Coffee Bar & Roastery,8816,92 St,NW,T6C 3R2,Bonnie Doon,Mature Area,8816 92 St NW
The Colombian Coffee Bar & Roastery,6529,111 St,NW,T6H 4R5,Parkallen,Southwest Sector,6529 111 St NW
The Colombian Coffee Bar & Roastery,8905,99 St,NW,T6E 3T8,Strathcona,Mature Area,8905 99 St NW
The Glass Cafe,10345,107 St,NW,T5J 1K3,Downtown,Mature Area,10345 107 St NW
The Woodrack Cafe,10335,83 Ave,NW,T6E 2C6,Strathcona,Mature Area,10335 83 Ave NW
Tim Hortons,1000,Airport Road,NW,T9E 0V3,Airport,North Sector,1000 Airport Road
Tim Hortons,9950,132 Avenue,NW,T5E 6W1,Rosslyn,North Sector,9950 132 Avenue
Tim Hortons,10150,Jasper Ave,NW,T5J 1W5,Downtown,Mature Area,10150 Jasper Ave
Tim Hortons,10215,108 St,NW,T5J 1L6,Downtown,Mature Area,10215 108 St Nw
Tim Hortons,10220,104 Ave,NW,T5H 2X6,Downtown,Mature Area,10220 104 Ave Nw
Tim Hortons,10221,170th St,NW,T5P 4V4,West Edmonton Mall,West Sector,10221 170th St
Tim Hortons,10240,Kingsway Royal Alexandra Ho,NW,T5H 3V9,Kingsway,Mature Area,10240 Kingsway
Tim Hortons,10310,31st Ave,NW,T6J 6Y5,Ermineskin,Southwest Sector,10310 31st Ave Nw
Tim Hortons,10365,111 St,NW,T5K 2V3,Downtown,Mature Area,10365 111 St
Tim Hortons,8613,114 St,NW,T6G 2L7,University,Mature Area,8613-114 St
Tim Hortons,10519,82 Avenue Northwest,NW,T6E 2A3,Strathcona,Mature Area,10519 82 Avenue Northwest
Tim Hortons,10519,82nd Ave,NW,T6E 2A3,Strathcona,Mature Area,10519 82nd Ave Nw
Tim Hortons,10665,Jasper Ave,NW,T5J 3S9,Downtown,Mature Area,10665 Jasper Ave
Tim Hortons,10904,111 Avenue Nw- Esso Otr,NW,T5G 0C7,Kingsway,Mature Area,10904 111 Avenue Nw
Tim Hortons,110,Watt Common Sw,NW,T6X 1X2,Ellerslie,Southwest Sector,110 Watt Common Sw
Tim Hortons,11084,51st Ave,NW,T6H 0L4,Southgate,Southwest Sector,11084 51st Ave Nw
Tim Hortons,11103,Ellerslie Rd Sw,NW,T6W 0E9,Ellerslie,Southwest Sector,11103 Ellerslie Rd Sw
Tim Hortons,11104,184 St,NW,T5S 2S6,West Edmonton,West Sector,11104 184 St Nw
Tim Hortons,11240,Groat Rd North West,NW,T5M 4E7,Westmount,Mature Area,11240 Groat Rd North West
Tim Hortons,11610,65 Ave,NW,T6G 2E1,Belgravia,Mature Area,11610 65 Ave Nw
Tim Hortons,11762,106 St,NW,T5G 2R1,NAIT,Mature Area,11762 106 St Nw
Tim Hortons,11763,106 St,NW,T5G 2R1,NAIT,Mature Area,11763 106 St
Tim Hortons,11940,111 Ave,NW,T5G 0E5,Prince Rupert,North Sector,11940 111 Ave Nw
Tim Hortons,12621,Victoria Trail,NW,T5A 4W4,Hermitage,Northeast Sector,12621 Victoria Trail Nw
Tim Hortons,12820,82nd St,NW,T5E 2T2,Delton,North Sector,12820 82nd St Nw
Tim Hortons,12852,167 Ave,NW,T6V 1B1,Oxford,Northwest Sector,12852 167 Ave
Tim Hortons,12996,50th St,NW,T5A 4L2,Sifton Park,Northeast Sector,12996 50th St
Tim Hortons,13015,118th Ave,NW,T5L 2L3,Dovercourt,North Sector,13015 118th Ave Nw
Tim Hortons,13080,St Albert Trail,NW,T5L 2L5,Dovercourt,North Sector,13080 St Albert Trail Nw
Tim Hortons,1317,175th Street,NW,T6W 4H3,Windermere,Southwest Sector,1317 175th Street
Tim Hortons,13604,137 Ave,NW,T5L 2B3,Pembina,North Sector,13604 137 Ave
Tim Hortons,13704,164 Street,NW,T5V 1R6,Mistatim,Northwest Sector,13704 164 Street Nw
Tim Hortons,13704,50th St,NW,T5A 4Y3,Clareview,Northeast Sector,13704 50th St Nw
Tim Hortons,13831,127th St,NW,T6V 1A8,Oxford,Northwest Sector,13831 127th St
Tim Hortons,14111,28 Ave Sw,NW,T6W 3Y9,Heritage Valley,Southwest Sector,14111 28 Ave Sw
Tim Hortons,14204,23rd Ave,NW,T6R 3L6,Magrath,Southwest Sector,14204 23rd Ave
Tim Hortons,14865,137th Ave,NW,T5L 4H5,Rampart,North Sector,14865 137th Ave Nw
Tim Hortons,15224,127 St,NW,T6V 0C5,Oxford,Northwest Sector,15224 127 St Nw
Tim Hortons,1524,23rd Ave,NW,T6T 0Y2,Tamarack,Southeast Sector,1524 23rd Ave Nw
Tim Hortons,15606,111th Ave,NW,T5M 2R7,Mayfield,West Sector,15606 111th Ave Nw
Tim Hortons,15710,Stony Plain Rd,NW,T5P 3Z5,Jasper Place,West Sector,15710 Stony Plain Rd Nw
Tim Hortons,15830,87 Ave,NW,T5R 5Z1,Meadowlark,West Sector,15830 87 Ave
Tim Hortons,16012,100a Ave,NW,T5P 0M1,Glenwood,West Sector,16012 100a Ave
Tim Hortons,16039,97th St,NW,T5X 6B1,Eaux Claires,Northwest Sector,16039 97th St
Tim Hortons,16438,87th Ave,NW,T5R 4H2,Meadowlark,West Sector,16438 87th Ave
Tim Hortons,16955,109 Ave,NW,T5P 4P6,Mayfield,West Sector,16955 109 Ave Nw
Tim Hortons,17004,111th Ave,NW,T5S 2Y1,West Edmonton,West Sector,17004 111th Ave
Tim Hortons,17761,100th Ave,NW,T5S 1R6,West Edmonton,West Sector,17761 100th Ave Nw
Tim Hortons,18314,Lessard Rd,NW,T6M 2W8,Callingwood,West Sector,18314 Lessard Rd
Tim Hortons,18403,111th Ave,NW,T5S 2V5,West Edmonton,West Sector,18403 111th Ave Nw
Tim Hortons,1850,102 St,NW,T6N 1N3,South Edmonton Common,Southwest Sector,1850 102 St Nw
Tim Hortons,18531,Stony Plain Rd,NW,T5S 2X6,West Edmonton,West Sector,18531 Stony Plain Rd Nw
Tim Hortons,1a,Sir Winston Churchill Square,NW,T5J 0R2,Downtown,Mature Area,1a Sir Winston Churchill Square Nw
Tim Hortons,20108,Lessard Road,NW,T6M 0T9,Callingwood,West Sector,20108 Lessard Road Nw
Tim Hortons,2133,99th St,NW,T6N 1J7,South Edmonton Common,Southwest Sector,2133 99th St Nw
Tim Hortons,21458,115 Ave,NW,T5S 0K5,Winterburn,West Sector,21458 115 Ave Nw
Tim Hortons,8770,170th St,NW,T5T 4J2,West Edmonton Mall,West Sector,8770 170th St West Ed. Mall
Tim Hortons,22915,97 Ave,NW,T5T 7J2,Secord,West Sector,22915 97 Ave Nw
Tim Hortons,2309,Rabbit Hill Rd,NW,T6R 3L6,Magrath,Southwest Sector,2309 Rabbit Hill Rd Nw
Tim Hortons,2331,66 Street,NW,T6K 4B4,Mill Woods,Southeast Sector,2331 66 Street Nw
Tim Hortons,2943,137th Ave,NW,T5A 5G8,Clareview,Northeast Sector,2943 137th Ave
Tim Hortons,3042,Granville Drive N.w.,NW,T5T 4V3,Granville,West Sector,3042 Granville Drive N.w.
Tim Hortons,3351,34th St,NW,T6T 0B5,Tamarack,Southeast Sector,3351 34th St Nw
Tim Hortons,3522,118th Ave,NW,T5W 0Z4,Beverly,Northeast Sector,3522 118th Ave Nw
Tim Hortons,361,Allard Blvd Sw,NW,T6W 0J2,Allard,Southwest Sector,361 Allard Blvd Sw
Tim Hortons,3745,17 St,NW,T6T 1H9,Tamarack,Southeast Sector,3745 17 St Nw
Tim Hortons,420,Manning Crossing,NW,T5A 5A1,Manning,Northeast Sector,420 Manning Crossing Nw
Tim Hortons,4310,66th St,NW,T6K 4A2,Mill Woods,Southeast Sector,4310 66th St
Tim Hortons,4403,50th St,NW,T6L 6X4,Mill Woods,Southeast Sector,4403 50th St
Tim Hortons,4819,184th St,NW,T6M 2W8,Callingwood,West Sector,4819 184th St
Tim Hortons,4950,Calgary Trail Nw Esso Otr,NW,T6H 5H5,Empire Park,Southwest Sector,4950 Calgary Trail Nw Esso Otr
Tim Hortons,5003,101 Ave,NW,T6A 0G8,Capilano,Southeast Sector,5003 101 Ave Nw
Tim Hortons,5010,99th St,NW,T6E 3N6,Hazeldean,Mature Area,5010 99th St Nw
Tim Hortons,5015,111th,NW,T6H 4M6,Southgate,Southwest Sector,5015 111th Southgate Centre
Tim Hortons,5105,167th Ave,NW,T5Y 0L3,Hollick Kenyon,Northwest Sector,5105 167th Ave Nw
Tim Hortons,5204,23rd Ave,NW,T6L 6Y7,Mill Woods,Southeast Sector,5204 23rd Ave
Tim Hortons,5292,- Ellerslie Rd Sw,NW,T6X 1A4,Ellerslie,Southwest Sector,5292 - Ellerslie Rd Sw
Tim Hortons,575,109th St,NW,T5G 3A3,Queen Mary Park,Mature Area,575 109th St
Tim Hortons,6120,50th St,NW,T6B 2N7,Capilano,Southeast Sector,6120 50th St Nw
Tim Hortons,6234,Currents Dr,NW,T6W 0J2,Windermere,Southwest Sector,6234 Currents Dr Nw
Tim Hortons,6470,28th Ave,NW,T6L 6N3,Mill Woods,Southeast Sector,6470 28th Ave
Tim Hortons,6512,170th Ave,NW,T5X 3X6,Schonsee,Northwest Sector,6512 170th Ave Nw
Tim Hortons,6833,177 St,NW,T5T 4K3,Callingwood,West Sector,6833 177 St
Tim Hortons,7220,119th Ave,NW,T5B 4M9,Montrose,Northeast Sector,7220-119th Ave
Tim Hortons,7441,76th Ave,NW,T6C 4M3,Avonmore,Southeast Sector,7441 76th Ave
Tim Hortons,7457,Roper Rd,NW,T6B 3K9,Roper Industrial,Southeast Sector,7457 Roper Rd Nw
Tim Hortons,7502,Gateway Blvd N.w.,NW,T6E 6E8,Calgary Trail,Mature Area,7502 Gateway Blvd N.w.
Tim Hortons,7535,38 Ave,NW,T6K 3X9,Mill Woods,Southeast Sector,7535 38 Ave Nw
Tim Hortons,8030,167th Ave,NW,T5Z 0E5,Lago Lindo,Northwest Sector,8030 167th Ave Nw
Tim Hortons,8427,112th St,NW,T6G 1K5,University,Mature Area,8427 112th St Nw
Tim Hortons,8555,Argyll Rd,NW,T6C 4B2,Argyll,Mature Area,8555 Argyll Rd Nw
Tim Hortons,862,Parsons Rd Sw,NW,T6X 0B4,Ellerslie,Southwest Sector,862 Parsons Rd Sw
Tim Hortons,87th,Ave & 116 Th Street,NW,T6G 2H6,University,Mature Area,87th Ave & 116 Th Street
Tim Hortons,890,Webber Greens Dr,NW,T5T 4K5,Webber Greens,West Sector,890 Webber Greens Dr Nw
Tim Hortons,90,Ave. 114 St.,NW,T6G 2H6,University,Mature Area,90 Ave. 114 St. Central Academic Building
Tim Hortons,9499,137 Ave,NW,T5E 5R8,Northgate,North Sector,9499 137 Ave Nw Northgate Mall
Tim Hortons,9655,63rd Ave,NW,T6E 0G2,Hazeldean,Mature Area,9655 63rd Ave
Tim Hortons,9710,132nd Ave,NW,T5E 6J4,Rosslyn,North Sector,9710 132nd Ave Nw
Tim Hortons,9841,Winterburn Road,NW,T5T 7P6,Winterburn,West Sector,9841 Winterburn Road
Tim Hortons,9860,34th Ave,NW,T6E 6L1,Hazeldean,Mature Area,9860 34th Ave Nw
Tim Hortons,9902,153rd Ave,NW,T5X 6A4,Eaux Claires,Northwest Sector,9902 153rd Ave Nw
Tim Hortons,10700,104th Ave,NW,T5J 4S2,Downtown,Mature Area,Centre For Sport And Wellness
Tim Hortons,10700,104th Ave,NW,T5J 4S2,Downtown,Mature Area,Macewan University
Tim Hortons,10200,102 Ave,NW,T5J 4V7,Downtown,Mature Area,10200 102 Ave
Tim Hortons,10111,104 Avenue,NW,T5J 0J4,Downtown,Mature Area,10111 104 Avenue
Transcend Coffee,8708,109 St,NW,T6G 1E9,Garneau,Mature Area,8708 109 St NW
Transcend Coffee,9570,76 Ave,NW,T6C 0K2,Ritchie,Mature Area,9570 76 Ave NW
Transcend Coffee,12332,106 Ave,NW,T5N 1S5,Westmount,Mature Area,12332 106 Ave NW
